Recommended Package,Dream Outcome,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
Enterprise - Custom Pricing,"Save RM 100-300k+/mo, 8% margin increase",GOOGLE-ChIJY0pA,2025-11-05,Marini’s on 57,"Night Club, Bar, Restaurant",2,1000000,"Level 57, Menara 3, Petronas, Persiaran KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50088 Kuala Lumpur,Kuala Lumpur,50088.0,https://marinisgroup.com/marinis-on-57/,,,60323866030.0,,60323866030.0,4.5,3483.0,$$$$ (Very Expensive),CLOSED_TEMPORARILY,ChIJY0pAodY3zDERpLoOdZbQ0UM,3.1566118,101.7115921,Losing money to waste but don't know how much,3,,,Google Places API,Rating: 4.5/5 (3483 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
Enterprise - Custom Pricing,"Save RM 100-300k+/mo, 8% margin increase",GOOGLE-ChIJkxdT,2025-11-05,Suzie Wong - Dinner and Show,"Restaurant, Bar",2,1000000,"Ground Floor, Wisma Lim Foo Yong, 86, Jalan Raja Chulan, Kuala Lumpur, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50200 Kuala Lumpur,Kuala Lumpur,50200.0,http://www.suziewong.asia/rsvp,,,60172266480.0,,60172266480.0,4.8,3559.0,$$$$ (Very Expensive),CLOSED_TEMPORARILY,ChIJkxdTEyw2zDERNUtzSIepFck,3.1507586,101.7091848,Losing money to waste but don't know how much,3,,,Google Places API,Rating: 4.8/5 (3559 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
Enterprise - Custom Pricing,"Save RM 100-300k+/mo, 8% margin increase",GOOGLE-ChIJo4RC,2025-11-05,"THIRTY8 Restaurant, Bar & Lounge",Restaurant,2,1000000,"Grand Hyatt Kuala Lumpur, 12, Jalan Pinang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450 Kuala Lumpur,Kuala Lumpur,50450.0,https://www.hyatt.com/en-US/hotel/malaysia/grand-hyatt-kuala-lumpur/kuagh/dining?src=nplk-kuagh-lclb-thirty8-restaurant,,,60322039188.0,,60322039188.0,4.4,3482.0,$$$$ (Very Expensive),OPERATIONAL,ChIJo4RCY9Q3zDERqVGS36A--CI,3.153649,101.712305,Losing money to waste but don't know how much,3,,,Google Places API,Rating: 4.4/5 (3482 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
Enterprise - Custom Pricing,"Save RM 100-300k+/mo, 8% margin increase",GOOGLE-ChIJ-7pD,2025-11-05,WAI Advisory (part of WAI Associates Group),"Insurance Agency, Cafe, Store",10,80000,"A1-07-13, Arcoris Business Suites, 10, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://www.waiassociates.com/,,,60364136991.0,,60364136991.0,4.9,18.0,Unknown,OPERATIONAL,ChIJ-7pDuSxIzDERDKvGd9lQduY,3.1679691,101.6523241,Need enterprise integration with existing systems,3,,,Google Places API,Rating: 4.9/5 (18 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
Enterprise - Custom Pricing,"Save RM 100-300k+/mo, 8% margin increase",GOOGLE-ChIJyR1p,2025-11-05,Tifafine Beauty Franchises and Makeup Training Academy,"Cafe, Beauty Salon, Health",10,80000,"87, Jalan SS 2/72, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",47300 Petaling Jaya,Selangor,47300.0,,,,60127196338.0,,60127196338.0,,,Unknown,OPERATIONAL,ChIJyR1pGlBJzDERMX4s7wJf--I,3.1221566,101.6261337,Need enterprise integration with existing systems,3,,,Google Places API,Rating: /5 ( reviews),,New,,Google Places Scraper,2025-11-05,75,WARM
